Unnamed: 0,date,Infected,Area
90,2019-10-02,31,Barishal
91,2019-10-01,46,Barishal
92,2019-09-30,30,Barishal
93,2019-09-29,36,Barishal
94,2019-09-28,30,Barishal
95,2019-09-27,38,Barishal
96,2019-09-26,37,Barishal
97,2019-09-25,49,Barishal
98,2019-09-24,44,Barishal
99,2019-09-23,49,Barishal
100,2019-09-22,65,Barishal
101,2019-09-21,51,Barishal
102,2019-09-20,42,Barishal
103,2019-09-19,43,Barishal
104,2019-09-18,48,Barishal
105,2019-09-17,63,Barishal
106,2019-09-16,60,Barishal
107,2019-09-15,65,Barishal
108,2019-09-14,49,Barishal
109,2019-09-13,54,Barishal
110,2019-09-12,64,Barishal
111,2019-09-11,67,Barishal
112,2019-09-10,67,Barishal
113,2019-09-09,68,Barishal
114,2019-09-08,66,Barishal
115,2019-09-07,63,Barishal
116,2019-09-06,57,Barishal
117,2019-09-05,62,Barishal
118,2019-09-04,78,Barishal
119,2019-09-03,56,Barishal
120,2019-09-02,61,Barishal
121,2019-09-01,93,Barishal
122,2019-08-31,63,Barishal
123,2019-08-30,87,Barishal
124,2019-08-29,106,Barishal
125,2019-08-28,105,Barishal
126,2019-08-27,102,Barishal
127,2019-08-26,111,Barishal
128,2019-08-25,126,Barishal
129,2019-08-24,106,Barishal
1,2019-12-30,2,Chittagong
2,2019-12-29,0,Chittagong
3,2019-12-28,1,Chittagong
4,2019-12-27,6,Chittagong
5,2019-12-26,7,Chittagong
6,2019-12-25,4,Chittagong
7,2019-12-24,3,Chittagong
8,2019-12-23,6,Chittagong
9,2019-12-22,4,Chittagong
10,2019-12-21,2,Chittagong
11,2019-12-20,4,Chittagong
12,2019-12-19,6,Chittagong
13,2019-12-18,5,Chittagong
14,2019-12-17,7,Chittagong
15,2019-12-16,4,Chittagong
16,2019-12-15,7,Chittagong
17,2019-12-14,8,Chittagong
18,2019-12-13,5,Chittagong
19,2019-12-12,7,Chittagong
20,2019-12-11,4,Chittagong
21,2019-12-10,7,Chittagong
22,2019-12-09,13,Chittagong
23,2019-12-08,7,Chittagong
24,2019-12-07,7,Chittagong
25,2019-12-06,3,Chittagong
26,2019-12-05,6,Chittagong
27,2019-12-04,14,Chittagong
28,2019-12-03,12,Chittagong
29,2019-12-02,8,Chittagong
30,2019-12-01,10,Chittagong
31,2019-11-30,10,Chittagong
32,2019-11-29,6,Chittagong
33,2019-11-28,10,Chittagong
34,2019-11-27,21,Chittagong
35,2019-11-26,12,Chittagong
36,2019-11-25,18,Chittagong
37,2019-11-24,16,Chittagong
38,2019-11-23,21,Chittagong
39,2019-11-22,13,Chittagong
40,2019-11-21,24,Chittagong
41,2019-11-20,20,Chittagong
42,2019-11-19,22,Chittagong
43,2019-11-18,22,Chittagong
44,2019-11-17,29,Chittagong
45,2019-11-16,20,Chittagong
46,2019-11-15,21,Chittagong
47,2019-11-14,32,Chittagong
48,2019-11-13,34,Chittagong
49,2019-11-12,22,Chittagong
50,2019-11-11,18,Chittagong
51,2019-11-10,16,Chittagong
52,2019-11-09,22,Chittagong
53,2019-11-08,22,Chittagong
54,2019-11-07,19,Chittagong
55,2019-11-06,33,Chittagong
56,2019-11-05,28,Chittagong
57,2019-11-04,33,Chittagong
58,2019-11-03,24,Chittagong
59,2019-11-02,22,Chittagong
60,2019-11-01,22,Chittagong
61,2019-10-31,27,Chittagong
62,2019-10-30,36,Chittagong
63,2019-10-29,32,Chittagong
64,2019-10-28,26,Chittagong
65,2019-10-27,33,Chittagong
66,2019-10-26,15,Chittagong
