Station,Date,temp
Dhaka,2016-07-19,28.1
Dhaka,2016-07-20,29.2
Dhaka,2016-07-21,28.9
Dhaka,2016-07-22,27.5
Dhaka,2016-07-23,27.8
Dhaka,2016-07-24,28.7
Dhaka,2016-07-25,27.9
Dhaka,2016-07-26,27.8
Dhaka,2016-07-27,29.6
Dhaka,2016-07-28,29.7
Dhaka,2016-07-29,29
Dhaka,2016-07-30,28.9
Dhaka,2016-07-31,29.7
Dhaka,2016-08-01,29.5
Dhaka,2016-08-02,29.7
Dhaka,2016-08-03,30.7
Dhaka,2016-08-04,31.1
Dhaka,2016-08-05,29.8
Dhaka,2016-08-06,29
Dhaka,2016-08-07,29.2
Dhaka,2016-08-08,29.5
Dhaka,2016-08-09,27.9
Dhaka,2016-08-10,26.9
Dhaka,2016-08-11,28.6
Dhaka,2016-08-12,30.3
Dhaka,2016-08-13,29.6
Dhaka,2016-08-14,29.8
Dhaka,2016-08-15,30.6
Dhaka,2016-08-16,29.5
Dhaka,2016-08-17,29.2
Dhaka,2016-08-18,29.8
Dhaka,2016-08-19,30.7
Dhaka,2016-08-20,30.6
Dhaka,2016-08-21,26.8
Dhaka,2016-08-22,28.6
Dhaka,2016-08-23,29.4
Dhaka,2016-08-24,31.1
Dhaka,2016-08-25,31
Dhaka,2016-08-26,29.7
Dhaka,2016-08-27,30.8
Dhaka,2016-08-28,28.3
Dhaka,2016-08-29,30.1
Dhaka,2016-08-30,31.2
Dhaka,2016-08-31,30
Dhaka,2016-09-01,29.1
Dhaka,2016-09-02,29.7
Dhaka,2016-09-03,29.1
Dhaka,2016-09-04,29.3
Dhaka,2016-09-05,28.3
Dhaka,2016-09-06,28.8
Dhaka,2016-09-07,29.2
Dhaka,2016-09-08,29.8
Dhaka,2016-09-09,30.4
Dhaka,2016-09-10,30.2
Dhaka,2016-09-11,28.9
Dhaka,2016-09-12,28.4
Dhaka,2016-09-13,26.7
Dhaka,2016-09-14,28.6
Dhaka,2016-09-15,30
Dhaka,2016-09-16,30.2
Dhaka,2016-09-17,29.6
Dhaka,2016-09-18,29.6
Dhaka,2016-09-19,27.9
Dhaka,2016-09-20,27.7
Dhaka,2016-09-21,28.3
Dhaka,2016-09-22,28.1
Dhaka,2016-09-23,29.4
Dhaka,2016-09-24,27.8
Dhaka,2016-09-25,29.7
Dhaka,2016-09-26,27.7
Dhaka,2016-09-27,30.1
Dhaka,2016-09-28,28.3
Dhaka,2016-09-29,29.7
Dhaka,2016-09-30,30.2
Dhaka,2016-10-01,29.2
Dhaka,2016-10-02,29.2
Dhaka,2016-10-03,30.1
Dhaka,2016-10-04,31.1
Dhaka,2016-10-05,28.9
Dhaka,2016-10-06,27.6
Dhaka,2016-10-07,28.3
Dhaka,2016-10-08,28.9
Dhaka,2016-10-09,28.8
Dhaka,2016-10-10,28.9
Dhaka,2016-10-11,26.7
Dhaka,2016-10-12,27.2
Dhaka,2016-10-13,27.8
Dhaka,2016-10-14,28.6
Dhaka,2016-10-15,29.1
Dhaka,2016-10-16,29.7
Dhaka,2016-10-17,30.2
Dhaka,2016-10-18,29.5
Dhaka,2016-10-19,30.4
Dhaka,2016-10-20,29.9
Dhaka,2016-10-21,29.4
Dhaka,2016-10-22,28.5
Dhaka,2016-10-23,28.4
Dhaka,2016-10-24,28.1
Dhaka,2016-10-25,28.8
Dhaka,2016-10-26,28.9
Dhaka,2016-10-27,25.8
Dhaka,2016-10-28,26.6
Dhaka,2016-10-29,26.9
Dhaka,2016-10-30,27.5
Dhaka,2016-10-31,28.2
Dhaka,2016-11-01,29.1
Dhaka,2016-11-02,29.5
Dhaka,2016-11-03,29.1
Dhaka,2016-11-04,25.1
Dhaka,2016-11-05,22.5
Dhaka,2016-11-06,22.8
Dhaka,2016-11-07,23.7
Dhaka,2016-11-08,24.5
Dhaka,2016-11-09,24.8
Dhaka,2016-11-10,24.5
Dhaka,2016-11-11,24.1
Dhaka,2016-11-12,24.2
Dhaka,2016-11-13,24.9
Dhaka,2016-11-14,24.6
Dhaka,2016-11-15,24.6
Dhaka,2016-11-16,24.9
Dhaka,2016-11-17,24.1
Dhaka,2016-11-18,23.3
Dhaka,2016-11-19,23
Dhaka,2016-11-20,23
Dhaka,2016-11-21,23
Dhaka,2016-11-22,22.6
Dhaka,2016-11-23,22.8
Dhaka,2016-11-24,23
Dhaka,2016-11-25,22.8
Dhaka,2016-11-26,22.6
Dhaka,2016-11-27,22.4
Dhaka,2016-11-28,23.1
Dhaka,2016-11-29,23.1
Dhaka,2016-11-30,22.9
Dhaka,2016-12-01,23.3
Dhaka,2016-12-02,23.5
Dhaka,2016-12-03,23.8
Dhaka,2016-12-04,24.1
Dhaka,2016-12-05,22.8
Dhaka,2016-12-06,22.8
Dhaka,2016-12-07,22.1
Dhaka,2016-12-08,22
Dhaka,2016-12-09,21.8
Dhaka,2016-12-10,21.3
Dhaka,2016-12-11,21.7
Dhaka,2016-12-12,21.5
Dhaka,2016-12-13,20.3
Dhaka,2016-12-14,19.8
Dhaka,2016-12-15,20.3
Dhaka,2016-12-16,20.1
Dhaka,2016-12-17,21
Dhaka,2016-12-18,21.5
Dhaka,2016-12-19,21.3
Dhaka,2016-12-20,21.3
Dhaka,2016-12-21,20.9
Dhaka,2016-12-22,21.4
Dhaka,2016-12-23,21.8
Dhaka,2016-12-24,21.8
Dhaka,2016-12-25,22.3
Dhaka,2016-12-26,22.6
Dhaka,2016-12-27,21.5
Dhaka,2016-12-28,20.1
Dhaka,2016-12-29,20.7
Dhaka,2016-12-30,20
Dhaka,2016-12-31,19.7
Dhaka,2017-01-01,20.6
Dhaka,2017-01-02,21
Dhaka,2017-01-03,21.6
Dhaka,2017-01-04,20.7
Dhaka,2017-01-05,18.7
Dhaka,2017-01-06,18
Dhaka,2017-01-07,18.9
Dhaka,2017-01-08,19.7
Dhaka,2017-01-09,20.2
Dhaka,2017-01-10,19.8
Dhaka,2017-01-11,19.4
Dhaka,2017-01-12,19.3
Dhaka,2017-01-13,17.4
Dhaka,2017-01-14,17.2
Dhaka,2017-01-15,18.6
Dhaka,2017-01-16,18.2
Dhaka,2017-01-17,18.1
Dhaka,2017-01-18,19.8
Dhaka,2017-01-19,21.5
Dhaka,2017-01-20,20.3
Dhaka,2017-01-21,20.6
Dhaka,2017-01-22,21.3
Dhaka,2017-01-23,20.6
Dhaka,2017-01-24,21.6
Dhaka,2017-01-25,21.3
Dhaka,2017-01-26,22.6
Dhaka,2017-01-27,21.6
Dhaka,2017-01-28,22.2
Dhaka,2017-01-29,20.8
Dhaka,2017-01-30,20.4
Dhaka,2017-01-31,20
Dhaka,2017-02-01,21.2
Dhaka,2017-02-02,20.4
Dhaka,2017-02-03,20
Dhaka,2017-02-04,21.6
Dhaka,2017-02-05,23.8
Dhaka,2017-02-06,23.6
Dhaka,2017-02-07,23.8
Dhaka,2017-02-08,22.6
Dhaka,2017-02-09,20.9
Dhaka,2017-02-10,21.7
Dhaka,2017-02-11,22.5
Dhaka,2017-02-12,23.8
Dhaka,2017-02-13,23.5
Dhaka,2017-02-14,23.6
Dhaka,2017-02-15,24
Dhaka,2017-02-16,23.8
Dhaka,2017-02-17,23.8
Dhaka,2017-02-18,24.5
Dhaka,2017-02-19,24.5
Dhaka,2017-02-20,24.8
Dhaka,2017-02-21,26.5
Dhaka,2017-02-22,26.3
Dhaka,2017-02-23,24.4
Dhaka,2017-02-24,23.3
Dhaka,2017-02-25,22.3
Dhaka,2017-02-26,22.9
Dhaka,2017-02-27,24
Dhaka,2017-02-28,23.8
Dhaka,2017-03-01,24.5
Dhaka,2017-03-02,26.5
Dhaka,2017-03-03,26.7
Dhaka,2017-03-04,25.5
Dhaka,2017-03-05,25.5
Dhaka,2017-03-06,24.6
Dhaka,2017-03-07,25.4
Dhaka,2017-03-08,24.1
Dhaka,2017-03-09,23.6
Dhaka,2017-03-10,25.1
Dhaka,2017-03-11,22.7
Dhaka,2017-03-12,24.1
Dhaka,2017-03-13,23.7
Dhaka,2017-03-14,22.9
Dhaka,2017-03-15,23.4
Dhaka,2017-03-16,23.2
Dhaka,2017-03-17,26
Dhaka,2017-03-18,23.3
Dhaka,2017-03-19,25.3
Dhaka,2017-03-20,20
Dhaka,2017-03-21,23.1
Dhaka,2017-03-22,25.5
Dhaka,2017-03-23,26.9
Dhaka,2017-03-24,28.3
Dhaka,2017-03-25,24.2
Dhaka,2017-03-26,26.7
Dhaka,2017-03-27,28.1
Dhaka,2017-03-28,27.4
Dhaka,2017-03-29,26.7
Dhaka,2017-03-30,29.1
Dhaka,2017-03-31,29.2
Dhaka,2017-04-01,29.5
Dhaka,2017-04-02,28.9
Dhaka,2017-04-03,28.4
Dhaka,2017-04-04,26.7
Dhaka,2017-04-05,24.2
Dhaka,2017-04-06,26.5
Dhaka,2017-04-07,29.8
Dhaka,2017-04-08,29.8
Dhaka,2017-04-09,29.6
Dhaka,2017-04-10,30.4
Dhaka,2017-04-11,30.5
Dhaka,2017-04-12,29.7
Dhaka,2017-04-13,30.6
Dhaka,2017-04-14,30.6
Dhaka,2017-04-15,28.2
Dhaka,2017-04-16,26.5
Dhaka,2017-04-17,29.1
Dhaka,2017-04-18,29.9
Dhaka,2017-04-19,26.6
Dhaka,2017-04-20,26.2
Dhaka,2017-04-21,25.3
Dhaka,2017-04-22,22.1
Dhaka,2017-04-23,24.4
Dhaka,2017-04-24,23.1
Dhaka,2017-04-25,28.4
Dhaka,2017-04-26,29.8
Dhaka,2017-04-27,29.7
Dhaka,2017-04-28,30.1
Dhaka,2017-04-29,27.7
Dhaka,2017-04-30,28.4
Dhaka,2017-05-01,26.8
Dhaka,2017-05-02,27.7
Dhaka,2017-05-03,30.3
Dhaka,2017-05-04,29.7
Dhaka,2017-05-05,30.6
Dhaka,2017-05-06,30.1
Dhaka,2017-05-07,30.3
Dhaka,2017-05-08,31
Dhaka,2017-05-09,26.4
Dhaka,2017-05-10,29
Dhaka,2017-05-11,31.2
Dhaka,2017-05-12,30.5
Dhaka,2017-05-13,30.5
Dhaka,2017-05-14,29.9
Dhaka,2017-05-15,27.2
Dhaka,2017-05-16,26.7
Dhaka,2017-05-17,28.2
Dhaka,2017-05-18,30.3
Dhaka,2017-05-19,31
Dhaka,2017-05-20,32
Dhaka,2017-05-21,31.6
Dhaka,2017-05-22,32.2
Dhaka,2017-05-23,32.8
Dhaka,2017-05-24,32.4
Dhaka,2017-05-25,32.6
Dhaka,2017-05-26,29.2
Dhaka,2017-05-27,30.3
Dhaka,2017-05-28,30
Dhaka,2017-05-29,30
Dhaka,2017-05-30,27.4
Dhaka,2017-05-31,28.8
Dhaka,2017-06-01,26.4
Dhaka,2017-06-02,28
Dhaka,2017-06-03,31.3
Dhaka,2017-06-04,30.1
Dhaka,2017-06-05,27.2
Dhaka,2017-06-06,30.8
Dhaka,2017-06-07,31.6
Dhaka,2017-06-08,30.3
Dhaka,2017-06-09,30
Dhaka,2017-06-10,30.9
Dhaka,2017-06-11,28.5
Dhaka,2017-06-12,25.7
Dhaka,2017-06-13,29.4
Dhaka,2017-06-14,28.8
Dhaka,2017-06-15,29.2
Dhaka,2017-06-16,27.2
Dhaka,2017-06-17,28.5
Dhaka,2017-06-18,29.6
Dhaka,2017-06-19,25.7
Dhaka,2017-06-20,28.4
Dhaka,2017-06-21,29
Dhaka,2017-06-22,29.6
Dhaka,2017-06-23,30.1
Dhaka,2017-06-24,30.5
Dhaka,2017-06-25,29.9
Dhaka,2017-06-26,30.3
Dhaka,2017-06-27,30.2
Dhaka,2017-06-28,29.9
Dhaka,2017-06-29,30
Dhaka,2017-06-30,29.9
Dhaka,2017-07-01,29
Dhaka,2017-07-02,28.4
Dhaka,2017-07-03,28.1
Dhaka,2017-07-04,27.7
Dhaka,2017-07-05,27.7
Dhaka,2017-07-06,29.6
Dhaka,2017-07-07,29.4
Dhaka,2017-07-08,29.3
Dhaka,2017-07-09,29.8
Dhaka,2017-07-10,28.8
Dhaka,2017-07-11,26.7
Dhaka,2017-07-12,28.1
Dhaka,2017-07-13,28.6
Dhaka,2017-07-14,29.6
Dhaka,2017-07-15,30.8
Dhaka,2017-07-16,31.8
Dhaka,2017-07-17,30.6
Dhaka,2017-07-18,30.6
Dhaka,2017-07-19,27.2
Dhaka,2017-07-20,27
Dhaka,2017-07-21,27.8
Dhaka,2017-07-22,28.9
Dhaka,2017-07-23,27.6
Dhaka,2017-07-24,26.6
Dhaka,2017-07-25,26.3
Dhaka,2017-07-26,26.8
Dhaka,2017-07-27,29.5
Dhaka,2017-07-28,31.2
Dhaka,2017-07-29,29
Dhaka,2017-07-30,28.7
Dhaka,2017-07-31,30.5
Dhaka,2017-08-01,30.1
Dhaka,2017-08-02,28.4
Dhaka,2017-08-03,28.8
Dhaka,2017-08-04,30.2
Dhaka,2017-08-05,30.2
Dhaka,2017-08-06,29.2
Dhaka,2017-08-07,29.1
Dhaka,2017-08-08,30.4
Dhaka,2017-08-09,29.7
Dhaka,2017-08-10,29.7
Dhaka,2017-08-11,28.3
Dhaka,2017-08-12,26.6
Dhaka,2017-08-13,28.2
Dhaka,2017-08-14,28.2
Dhaka,2017-08-15,28.1
Dhaka,2017-08-16,28.1
Dhaka,2017-08-17,29.5
Dhaka,2017-08-18,28.8
Dhaka,2017-08-19,30.1
Dhaka,2017-08-20,30.2
Dhaka,2017-08-21,28.7
Dhaka,2017-08-22,28.8
Dhaka,2017-08-23,28.1
Dhaka,2017-08-24,29.7
Dhaka,2017-08-25,28.8
Dhaka,2017-08-26,29.2
Dhaka,2017-08-27,29.6
Dhaka,2017-08-28,29
Dhaka,2017-08-29,29.6
Dhaka,2017-08-30,30.4
Dhaka,2017-08-31,28.1
Dhaka,2017-09-01,29.1
Dhaka,2017-09-02,29.1
Dhaka,2017-09-03,29.1
Dhaka,2017-09-04,30.6
Dhaka,2017-09-05,30.5
Dhaka,2017-09-06,30.8
Dhaka,2017-09-07,30.2
Dhaka,2017-09-08,30.4
Dhaka,2017-09-09,29.5
Dhaka,2017-09-10,27.1
Dhaka,2017-09-11,25.8
Dhaka,2017-09-12,28.7
Dhaka,2017-09-13,28.7
Dhaka,2017-09-14,29.4
Dhaka,2017-09-15,29.4
Dhaka,2017-09-16,31.8
Dhaka,2017-09-17,28.2
Dhaka,2017-09-18,29.7
Dhaka,2017-09-19,27.2
Dhaka,2017-09-20,28.5
Dhaka,2017-09-21,29.1
Dhaka,2017-09-22,30.5
Dhaka,2017-09-23,31.2
Dhaka,2017-09-24,31.7
Dhaka,2017-09-25,30.4
Dhaka,2017-09-26,30.2
Dhaka,2017-09-27,29
Dhaka,2017-09-28,28.1
Dhaka,2017-09-29,26.9
Dhaka,2017-09-30,27.5
Dhaka,2017-10-01,27.4
Dhaka,2017-10-02,28.7
Dhaka,2017-10-03,29.6
Dhaka,2017-10-04,30.5
Dhaka,2017-10-05,30.7
Dhaka,2017-10-06,29.6
Dhaka,2017-10-07,28.2
Dhaka,2017-10-08,28.1
Dhaka,2017-10-09,27.2
Dhaka,2017-10-10,29.4
Dhaka,2017-10-11,30.3
Dhaka,2017-10-12,30.4
Dhaka,2017-10-13,30.2
Dhaka,2017-10-14,29.9
Dhaka,2017-10-15,29.1
Dhaka,2017-10-16,29.7
Dhaka,2017-10-17,30.3
Dhaka,2017-10-18,29.3
Dhaka,2017-10-19,26.5
Dhaka,2017-10-20,24.4
Dhaka,2017-10-21,24.2
Dhaka,2017-10-22,24.6
Dhaka,2017-10-23,27.6
Dhaka,2017-10-24,27.1
Dhaka,2017-10-25,26.5
Dhaka,2017-10-26,26.4
Dhaka,2017-10-27,26.1
Dhaka,2017-10-28,25.1
Dhaka,2017-10-29,25.5
Dhaka,2017-10-30,21.9
Dhaka,2017-10-31,23.5
Dhaka,2017-11-01,25.2
Dhaka,2017-11-02,25.6
Dhaka,2017-11-03,25.7
Dhaka,2017-11-04,27.2
Dhaka,2017-11-05,27
Dhaka,2017-11-06,27.1
Dhaka,2017-11-07,27
Dhaka,2017-11-08,26
Dhaka,2017-11-09,25.2
Dhaka,2017-11-10,25.4
Dhaka,2017-11-11,25.4
Dhaka,2017-11-12,26.6
Dhaka,2017-11-13,27.1
Dhaka,2017-11-14,26.3
Dhaka,2017-11-15,23.6
Dhaka,2017-11-16,22.8
Dhaka,2017-11-17,25.5
Dhaka,2017-11-18,26.8
Dhaka,2017-11-19,25.7
Dhaka,2017-11-20,25.1
Dhaka,2017-11-21,24
Dhaka,2017-11-22,22.8
Dhaka,2017-11-23,22.8
Dhaka,2017-11-24,23
Dhaka,2017-11-25,22.6
Dhaka,2017-11-26,22.6
Dhaka,2017-11-27,23.1
Dhaka,2017-11-28,21.7
Dhaka,2017-11-29,21.6
Dhaka,2017-11-30,21.3
Dhaka,2017-12-01,21.8
Dhaka,2017-12-02,22.2
Dhaka,2017-12-03,21.8
Dhaka,2017-12-04,21.3
Dhaka,2017-12-05,21.1
Dhaka,2017-12-06,22.7
Dhaka,2017-12-07,22.7
Dhaka,2017-12-08,22.8
Dhaka,2017-12-09,21
Dhaka,2017-12-10,22.1
Dhaka,2017-12-11,22.8
Dhaka,2017-12-12,23.4
Dhaka,2017-12-13,22.9
Dhaka,2017-12-14,22
Dhaka,2017-12-15,20.7
Dhaka,2017-12-16,19.7
Dhaka,2017-12-17,20.5
Dhaka,2017-12-18,20.5
Dhaka,2017-12-19,18
Dhaka,2017-12-20,19.1
Dhaka,2017-12-21,20.3
Dhaka,2017-12-22,20.5
Dhaka,2017-12-23,21
Dhaka,2017-12-24,21.3
Dhaka,2017-12-25,21.5
Dhaka,2017-12-26,21.4
Dhaka,2017-12-27,21.1
Dhaka,2017-12-28,19.4
Dhaka,2017-12-29,19.7
Dhaka,2017-12-30,21.6
Dhaka,2017-12-31,21.6
Dhaka,2018-01-01,20.6
Dhaka,2018-01-02,20.2
Dhaka,2018-01-03,18.4
Dhaka,2018-01-04,15.7
Dhaka,2018-01-05,16.1
Dhaka,2018-01-06,16.8
Dhaka,2018-01-07,14.1
Dhaka,2018-01-08,13
Dhaka,2018-01-09,16.6
Dhaka,2018-01-10,16.3
Dhaka,2018-01-11,13.8
Dhaka,2018-01-12,15.1
Dhaka,2018-01-13,15.7
Dhaka,2018-01-14,14.6
Dhaka,2018-01-15,15.7
Dhaka,2018-01-16,17.7
Dhaka,2018-01-17,18.8
Dhaka,2018-01-18,20.1
Dhaka,2018-01-19,20
Dhaka,2018-01-20,18.3
Dhaka,2018-01-21,19
Dhaka,2018-01-22,17.7
Dhaka,2018-01-23,19.8
Dhaka,2018-01-24,19.6
Dhaka,2018-01-25,20.5
Dhaka,2018-01-26,19.6
Dhaka,2018-01-27,17.1
Dhaka,2018-01-28,17.1
Dhaka,2018-01-29,17.6
Dhaka,2018-01-30,18.2
Dhaka,2018-01-31,19.1
Dhaka,2018-02-01,19.1
Dhaka,2018-02-02,19.6
Dhaka,2018-02-03,20.1
Dhaka,2018-02-04,22.4
Dhaka,2018-02-05,22.2
Dhaka,2018-02-06,21.7
Dhaka,2018-02-07,22.2
Dhaka,2018-02-08,21.9
Dhaka,2018-02-09,23.1
Dhaka,2018-02-10,23.6
Dhaka,2018-02-11,22.2
Dhaka,2018-02-12,23.3
Dhaka,2018-02-13,23.9
Dhaka,2018-02-14,23
Dhaka,2018-02-15,22.3
Dhaka,2018-02-16,22.4
Dhaka,2018-02-17,21.8
Dhaka,2018-02-18,22.5
Dhaka,2018-02-19,23.6
Dhaka,2018-02-20,24.5
Dhaka,2018-02-21,24.8
Dhaka,2018-02-22,25
Dhaka,2018-02-23,26.1
Dhaka,2018-02-24,25.8
Dhaka,2018-02-25,27.3
Dhaka,2018-02-26,23.4
Dhaka,2018-02-27,25.3
Dhaka,2018-02-28,25.8
Dhaka,2018-03-01,25.9
Dhaka,2018-03-02,26.7
Dhaka,2018-03-03,27.4
Dhaka,2018-03-04,28.2
Dhaka,2018-03-05,28.1
Dhaka,2018-03-06,27.4
Dhaka,2018-03-07,26.2
Dhaka,2018-03-08,25.9
Dhaka,2018-03-09,25.6
Dhaka,2018-03-10,25.5
Dhaka,2018-03-11,26.3
