,date,Infected_Cases,Area
282,2020-03-24,0,Dhaka_inner
283,2020-03-23,1,Dhaka_inner
284,2020-03-22,1,Dhaka_inner
285,2020-03-21,1,Dhaka_inner
286,2020-03-20,0,Dhaka_inner
287,2020-03-19,2,Dhaka_inner
288,2020-03-18,0,Dhaka_inner
289,2020-03-17,0,Dhaka_inner
290,2020-03-16,1,Dhaka_inner
291,2020-03-15,0,Dhaka_inner
292,2020-03-14,2,Dhaka_inner
293,2020-03-13,0,Dhaka_inner
294,2020-03-12,5,Dhaka_inner
295,2020-03-11,3,Dhaka_inner
296,2020-03-10,2,Dhaka_inner
297,2020-03-09,1,Dhaka_inner
298,2020-03-08,0,Dhaka_inner
299,2020-03-07,1,Dhaka_inner
300,2020-03-06,0,Dhaka_inner
301,2020-03-05,0,Dhaka_inner
302,2020-03-04,2,Dhaka_inner
303,2020-03-03,0,Dhaka_inner
304,2020-03-02,0,Dhaka_inner
305,2020-03-01,2,Dhaka_inner
306,2020-02-29,1,Dhaka_inner
307,2020-02-28,0,Dhaka_inner
308,2020-02-27,1,Dhaka_inner
309,2020-02-26,0,Dhaka_inner
310,2020-02-25,1,Dhaka_inner
311,2020-02-24,0,Dhaka_inner
312,2020-02-23,2,Dhaka_inner
313,2020-02-22,0,Dhaka_inner
314,2020-02-21,0,Dhaka_inner
315,2020-02-20,0,Dhaka_inner
316,2020-02-19,1,Dhaka_inner
317,2020-02-18,3,Dhaka_inner
318,2020-02-17,1,Dhaka_inner
319,2020-02-16,1,Dhaka_inner
320,2020-02-15,2,Dhaka_inner
321,2020-02-14,1,Dhaka_inner
322,2020-02-13,1,Dhaka_inner
323,2020-02-12,2,Dhaka_inner
324,2020-02-11,1,Dhaka_inner
325,2020-02-10,2,Dhaka_inner
326,2020-02-09,1,Dhaka_inner
327,2020-02-08,0,Dhaka_inner
328,2020-02-07,2,Dhaka_inner
329,2020-02-06,0,Dhaka_inner
330,2020-02-05,1,Dhaka_inner
331,2020-02-04,5,Dhaka_inner
332,2020-02-03,4,Dhaka_inner
333,2020-02-02,2,Dhaka_inner
334,2020-02-01,0,Dhaka_inner
335,2020-01-31,2,Dhaka_inner
336,2020-01-30,3,Dhaka_inner
337,2020-01-29,0,Dhaka_inner
338,2020-01-28,3,Dhaka_inner
339,2020-01-27,8,Dhaka_inner
340,2020-01-26,0,Dhaka_inner
341,2020-01-25,3,Dhaka_inner
342,2020-01-24,0,Dhaka_inner
343,2020-01-23,3,Dhaka_inner
344,2020-01-22,2,Dhaka_inner
345,2020-01-21,4,Dhaka_inner
346,2020-01-20,1,Dhaka_inner
347,2020-01-19,4,Dhaka_inner
348,2020-01-18,2,Dhaka_inner
349,2020-01-17,0,Dhaka_inner
350,2020-01-16,0,Dhaka_inner
351,2020-01-15,4,Dhaka_inner
352,2020-01-14,1,Dhaka_inner
353,2020-01-13,10,Dhaka_inner
354,2020-01-12,3,Dhaka_inner
355,2020-01-11,12,Dhaka_inner
356,2020-01-10,6,Dhaka_inner
357,2020-01-09,10,Dhaka_inner
358,2020-01-08,2,Dhaka_inner
359,2020-01-07,13,Dhaka_inner
360,2020-01-06,6,Dhaka_inner
361,2020-01-05,6,Dhaka_inner
362,2020-01-04,19,Dhaka_inner
363,2020-01-03,3,Dhaka_inner
364,2020-01-02,14,Dhaka_inner
365,2020-01-01,3,Dhaka_inner
